polling_station,type,constituency,constituency_winner,district,registeredVoters,totalVotes_cast,top1_vote,top1_name,top1_party,top2_vote,top2_name,top2_party
রূপসা বহুমুখী উচ্চ বিদ্যালয়,FEMALE,khulna-2,jamaat,khulna,1996,1005,504,Sheikh Jahangir Hossain Helal,jamaat,481,Nazrul Islam Manju,bnp
রূপসা বহুমুখী উচ্চ বিদ্যালয়,MALE,khulna-2,jamaat,khulna,1784,1086,580,Sheikh Jahangir Hossain Helal,jamaat,480,Nazrul Islam Manju,bnp
শিমুলিয়া সরকারী প্রাথমিক বিদ্যালয়,FEMALE,satkhira-2,jamaat,satkhira,2145,1667,1241,Muhammad Abdul Khalek,jamaat,411,Mohammad Abdur Rouf,bnp
শিমুলিয়া সরকারী প্রাথমিক বিদ্যালয়,MALE,satkhira-2,jamaat,satkhira,2152,1611,1133,Muhammad Abdul Khalek,jamaat,461,Mohammad Abdur Rouf,bnp
সরকারি বসির উদ্দিন মেমোরিয়াল কো-অপারেটিভ (বি এম সি) মহিলা কলেজ,MALE,naogaon-5,bnp,naogaon,2280,1389,711,Md. Zahidul Islam Dhulu,bnp,612,Abu Sadat Md Sayem,jamaat
সরকারি বসির উদ্দিন মেমোরিয়াল কো-অপারেটিভ (বি এম সি) মহিলা কলেজ,FEMALE,naogaon-5,bnp,naogaon,2559,1404,801,Md. Zahidul Islam Dhulu,bnp,562,Abu Sadat Md Sayem,jamaat
সারাংগাই পলাশবাড়ী উচ্চ বিদ্যালয়,MALE,dinajpur-2,bnp,dinajpur,3048,2302,1217,A. K. M. Afzalul Anam,jamaat,983,Md. Sadiq Riaz,bnp
সারাংগাই পলাশবাড়ী উচ্চ বিদ্যালয়,FEMALE,dinajpur-2,bnp,dinajpur,2870,2045,1129,A. K. M. Afzalul Anam,jamaat,818,Md. Sadiq Riaz,bnp
সালাহউদ্দিন ইউসুফ সরকারি মাধ্যমিক বিদ্যালয়,FEMALE,khulna-2,jamaat,khulna,2356,1324,781,Sheikh Jahangir Hossain Helal,jamaat,497,Nazrul Islam Manju,bnp
সালাহউদ্দিন ইউসুফ সরকারি মাধ্যমিক বিদ্যালয়,MALE,khulna-2,jamaat,khulna,2300,1399,793,Sheikh Jahangir Hossain Helal,jamaat,547,Nazrul Islam Manju,bnp
সৈয়দ শাহ মোস্তফা কলেজ,MALE,moulvibazar-3,bnp,moulvibazar,3051,1359,961,Naser Rahman,bnp,347,Md. Abdul Mannan,jamaat
সৈয়দ শাহ মোস্তফা কলেজ,FEMALE,moulvibazar-3,bnp,moulvibazar,3167,979,664,Naser Rahman,bnp,302,Md. Abdul Mannan,jamaat
হাজী ফয়েজ উদ্দিন উচ্চ বালিকা বিদ্যালয়,FEMALE,khulna-2,jamaat,khulna,2311,1361,738,Sheikh Jahangir Hossain Helal,jamaat,554,Nazrul Islam Manju,bnp
হাজী ফয়েজ উদ্দিন উচ্চ বালিকা বিদ্যালয়,MALE,khulna-2,jamaat,khulna,2100,1371,688,Sheikh Jahangir Hossain Helal,jamaat,615,Nazrul Islam Manju,bnp
হাজী মালেক ছালেহীয়া দারুসুন্নাত দাখিল মাদ্রাসা,MALE,khulna-2,jamaat,khulna,2264,1410,747,Sheikh Jahangir Hossain Helal,jamaat,584,Nazrul Islam Manju,bnp
হাজী মালেক ছালেহীয়া দারুসুন্নাত দাখিল মাদ্রাসা,FEMALE,khulna-2,jamaat,khulna,2334,1347,773,Sheikh Jahangir Hossain Helal,jamaat,506,Nazrul Islam Manju,bnp
